j_name,seed,final_states,final_avg_p,track_count,stable_tracks,node_count,edge_count,component_count,largest_component,mean_degree,max_degree,mean_edge_K,mean_edge_d,mean_geodesic_d,max_geodesic_d,final_avg_memory,final_max_memory
metric_exp,0,120,0.09238311596518682,147,32,32,42,6,15,2.625,6,0.395780070214831,0.9778342502615985,2.8522140687996007,7.2407750670632085,0.36018125201567924,0.5047668567422962
metric_exp,1,40,0.04210631759248555,155,31,31,50,4,15,3.225806451612903,6,0.4080322579641818,0.9503947050475521,3.0714642347700196,8.829697097489232,0.36761132757783027,0.5047668567422962
metric_exp,2,120,0.10703638000822338,168,30,30,40,6,11,2.6666666666666665,6,0.4107289776332081,0.9355817648009153,2.1232691011211227,6.494499549398165,0.40038926163704014,0.5047668567422962
metric_exp,3,120,0.07677743488371146,135,29,29,39,8,9,2.689655172413793,6,0.42812132801215413,0.90151939073312,1.3144049602911307,3.103027470415465,0.40701879477578246,0.5047668567422962
metric_exp,4,120,0.10336111061701315,151,29,29,38,6,14,2.6206896551724137,7,0.41042213302361436,0.9332777298523218,2.3908636274346575,5.986291919987991,0.3786627016273522,0.5047668567422962
metric_exp,5,120,0.0977908291684994,154,27,27,26,10,9,1.9259259259259258,5,0.41761585127950956,0.9306054677029844,1.8833080865426746,4.5641486299209335,0.37510804438620604,0.5047668567422962
metric_exp,6,120,0.08561615896322629,153,27,27,25,7,7,1.8518518518518519,5,0.43524271265869424,0.8954403951610886,1.8747693766647109,5.369410968414098,0.3795238783846473,0.5047668567422962
metric_exp,7,120,0.18377306711384914,142,33,33,52,6,18,3.1515151515151514,7,0.37151645603819716,1.0320276508582027,2.835797630641019,7.258124588727813,0.19538165239496597,0.5047668567422962
metric_exp,8,120,0.09835065799525752,144,31,31,48,5,13,3.096774193548387,6,0.40105854999288854,0.9688513708895634,2.2793949854149687,6.036727029984595,0.34416875673091,0.5047668567422962
metric_exp,9,120,0.07712513183387702,173,21,21,14,9,6,1.3333333333333333,3,0.44912641725102853,0.8815183646426435,1.6241300766838471,4.126850607630274,0.43754868726038804,0.5047668567422962
metric_exp,10,120,0.1047412324092615,152,32,32,42,4,16,2.625,5,0.37469589683166715,1.0286791319283974,3.059458752846653,8.288281096762827,0.3457737350367505,0.5047668567422962
metric_exp,11,120,0.10115833121825112,128,34,34,45,10,8,2.6470588235294117,5,0.4683106125446591,0.8458477480805745,1.5849622990361611,4.297506651307785,0.3424037323245275,0.5047668567422962
metric_exp,12,120,0.10738419590011741,142,35,35,49,2,34,2.8,5,0.3881155682802017,1.003724098351374,6.297281313383092,15.371983827316901,0.40353337168844206,0.5047668567422962
metric_exp,13,120,0.11609760017781233,144,29,29,33,9,8,2.2758620689655173,4,0.4099582053868319,0.9414604259280289,1.5538610049635944,4.707936437886057,0.26787378175143284,0.5047668567422962
metric_exp,14,120,0.09228131658652436,162,34,34,59,5,25,3.4705882352941178,7,0.40205162057660626,0.9828943294911731,3.3416954990935053,7.82649069379718,0.3971881950203033,0.5047668567422962
metric_exp,15,120,0.150346945646925,143,33,33,48,6,14,2.909090909090909,6,0.40181290948493903,0.967504024772578,2.6894564918921633,6.164688794126027,0.21344471635346104,0.5047668567422962
metric_exp,16,120,0.09294014776635366,159,34,34,42,8,13,2.4705882352941178,6,0.43613174754953826,0.8770332563155181,2.349025004267628,5.346497353392227,0.28716596912238646,0.5047668567422962
metric_exp,17,120,0.09988915068674217,150,35,35,54,5,28,3.085714285714286,7,0.42240450081521225,0.9161745180849413,4.050915644034901,8.614208514788508,0.39762851962542123,0.5047668567422962
metric_exp,18,120,0.08165216210657708,186,33,33,43,9,15,2.606060606060606,7,0.40455896621040816,0.9493764865050027,2.464018465609901,6.663512787992193,0.40727222822284836,0.5047668567422962
metric_exp,19,120,0.08789092611359166,144,35,35,38,9,15,2.1714285714285713,6,0.40126451411456565,0.9555920415353627,2.1845997082855804,4.866055242533947,0.31819839874642597,0.5047668567422962
metric_exp,20,120,0.1921579577041531,146,32,32,36,7,18,2.25,5,0.38260804715098273,1.0106684669055843,3.583792483124352,8.783235819881975,0.1901298586633262,0.5047668567422962
metric_exp,21,120,0.08177167325344671,151,33,33,39,5,14,2.3636363636363638,5,0.38619816542530383,1.003055030921651,2.6458867414840066,6.692337321569994,0.3935386424714424,0.5047668567422962
metric_exp,22,120,0.10133492365100835,147,32,32,46,6,19,2.875,7,0.3724224855355113,1.020834969163676,3.5386793270152705,8.670160575206554,0.32017455097981123,0.5047668567422962
metric_exp,23,120,0.08370106627221881,177,30,30,39,8,15,2.6,6,0.42858111610062044,0.910542024050518,3.0015873263433535,7.513264829947945,0.38810037812291476,0.5047668567422962
metric_exp,24,120,0.10134719506224205,152,28,28,28,6,15,2,4,0.3859402127927806,0.9855408973592557,3.3375246047197202,9.057029839040913,0.17627506406744403,0.5047668567422962
metric_exp,25,120,0.1143064438520817,159,35,35,59,3,30,3.3714285714285714,7,0.42796636429254903,0.9072015312024122,3.9452398279836096,9.010241447136526,0.36434776525471846,0.5047668567422962
metric_exp,26,39,0.039561369436996556,158,27,27,34,6,9,2.5185185185185186,6,0.3660239356605214,1.0688825563049402,1.849514062573346,4.476619422455402,0.2983845741656739,0.5047668567422962
metric_exp,27,120,0.07415939199013942,155,30,30,30,8,9,2,4,0.40126342204028603,0.950489171093332,2.4309100187594153,7.0462278982302635,0.2581788728278241,0.5047668567422962
metric_exp,28,120,0.1076534264883123,146,26,26,27,5,13,2.076923076923077,4,0.3811134442775187,1.00710624438212,3.182686661442022,8.447392167623788,0.38446991637192207,0.5047668567422962
metric_exp,29,120,0.11199666470117206,177,30,30,35,5,15,2.3333333333333335,4,0.4011449900984559,0.9686566266247036,3.0450645885253604,7.052168098048094,0.34044995048003196,0.5047668567422962
metric_exp,30,120,0.09587727184166857,134,37,37,65,7,11,3.5135135135135136,8,0.4164867032739182,0.9312639443238481,1.734897997879259,5.629079511624097,0.32712450406474763,0.5047668567422962
metric_exp,31,120,0.09071274370530027,169,25,25,23,5,18,1.84,4,0.37129348678226004,1.0325987665765441,6.146932305182278,16.03125093861474,0.41164696731651584,0.5047668567422962
metric_exp,32,120,0.09687831815209923,181,27,27,29,6,17,2.1481481481481484,5,0.357804497250284,1.0654519074792645,3.8456172590551803,10.164389937449524,0.4081514014562231,0.5004131676384612
metric_exp,33,120,0.12273153566579041,158,27,27,24,8,6,1.7777777777777777,3,0.5222919055408651,0.7113171225369869,1.1052058936408262,2.781675847195762,0.2145235501120279,0.5047668567422962
metric_exp,34,120,0.2124827224902717,136,35,35,49,6,16,2.8,7,0.416804651546213,0.936364223975202,2.6820993415490246,6.576979946315481,0.20058870649385233,0.5047668567422962
metric_exp,35,120,0.14322803701404724,146,37,37,53,9,14,2.864864864864865,8,0.4945597121812094,0.7523734107863297,2.011191614658369,5.264435099592097,0.23919396008449764,0.5047668567422962
metric_exp,36,120,0.1037281523432989,147,37,37,58,4,32,3.135135135135135,7,0.4100140789572254,0.9669689829525071,4.892299524781056,14.460281297699815,0.35194911938041507,0.5047668567422962
metric_exp,37,120,0.10918392126948469,158,33,33,54,6,11,3.272727272727273,6,0.3939920454502483,0.9769631005740643,1.6699634917510817,3.754983423077014,0.21702131828675084,0.5047668567422962
