track_id,start_step,end_step,lifetime,updates,mean_size,max_size,mean_overlap
20,0,5,10,2,1,1,1.0
34,10,10,5,1,1,1,0.0
24,0,15,20,4,1,1,1.0
26,0,15,20,4,1,1,1.0
17,0,20,25,5,1,1,1.0
36,20,20,5,1,1,1,0.0
35,15,20,10,2,1,1,1.0
37,25,25,5,1,1,1,0.0
33,0,25,30,6,1,1,1.0
39,30,30,5,1,1,1,0.0
19,0,35,40,8,1,1,1.0
3,0,35,40,8,1.125,2,0.9285714285714286
40,35,35,5,1,1,1,0.0
41,40,40,5,1,1,1,0.0
29,0,40,45,9,1,1,1.0
30,0,40,45,9,1,1,1.0
42,45,45,5,1,1,1,0.0
44,45,45,5,1,1,1,0.0
45,45,45,5,1,1,1,0.0
46,45,45,5,1,1,1,0.0
28,0,50,55,11,1,1,1.0
4,0,55,60,12,1.0833333333333333,2,0.9090909090909091
43,45,55,15,3,1,1,1.0
22,0,55,60,12,1.8333333333333333,2,0.9090909090909091
51,55,55,5,1,1,1,0.0
32,0,55,60,12,1,1,1.0
14,0,60,65,13,1.2307692307692308,2,0.8333333333333334
54,60,60,5,1,1,1,0.0
23,0,65,70,14,1,1,1.0
18,0,70,75,15,1,1,1.0
58,70,70,5,1,1,1,0.0
50,55,75,25,5,1,1,1.0
0,0,75,80,16,2.3125,4,0.8388888888888889
60,70,75,10,2,1,1,1.0
64,80,80,5,1,1,1,0.0
6,0,85,90,18,1.6111111111111112,2,0.8823529411764706
65,85,85,5,1,1,1,0.0
62,80,85,10,2,1,1,1.0
66,85,90,10,2,1,1,1.0
59,70,90,25,5,1,1,1.0
55,65,95,35,7,1.1428571428571428,2,0.9166666666666666
49,55,95,45,9,1,1,1.0
69,95,95,5,1,1,1,0.0
68,95,100,10,2,1,1,1.0
27,0,100,105,21,1,1,1.0
52,60,105,50,10,3.1,4,0.65
38,30,105,80,16,1.25,2,0.9333333333333333
72,100,105,10,2,1,1,1.0
76,110,110,5,1,1,1,0.0
77,110,110,5,1,1,1,0.0
78,110,110,5,1,1,1,0.0
75,110,115,10,2,1,1,1.0
71,100,115,20,4,1,1,1.0
21,0,120,125,25,1,1,1.0
63,80,120,45,9,1,1,1.0
47,50,125,80,16,1.5625,3,0.7888888888888889
16,0,125,130,26,1,1,1.0
83,120,125,10,2,1,1,1.0
74,105,125,25,5,1,1,1.0
85,130,130,5,1,1,1,0.0
9,0,130,135,27,1.1111111111111112,2,0.9230769230769231
84,125,130,10,2,1,1,1.0
70,95,135,45,9,2.2222222222222223,4,0.8020833333333334
87,130,135,10,2,1,1,1.0
56,65,135,75,15,1,1,1.0
95,140,140,5,1,1,1,0.0
93,140,145,10,2,1,1,1.0
81,115,145,35,7,1,1,1.0
61,75,145,75,15,1,1,1.0
10,0,150,155,31,1.7096774193548387,3,0.8666666666666667
98,150,150,5,1,1,1,0.0
94,140,150,15,3,1,1,1.0
100,150,155,10,2,1,1,1.0
96,145,160,20,4,1,1,1.0
99,150,160,15,3,1,1,1.0
82,115,160,50,10,1,1,1.0
57,65,165,105,21,1.2380952380952381,3,0.925
1,0,165,170,34,2.0588235294117645,4,0.8580808080808081
11,0,165,170,34,1.1470588235294117,3,0.9545454545454546
91,140,165,30,6,1.1666666666666667,2,0.8
31,0,165,170,34,1,1,1.0
89,135,170,40,8,1,1,1.0
107,170,170,5,1,1,1,0.0
86,130,170,45,9,1,1,1.0
105,165,170,10,2,1,1,1.0
108,175,175,5,1,1,1,0.0
104,165,175,15,3,1,1,1.0
102,160,180,25,5,1,1,1.0
112,180,180,5,1,1,1,0.0
88,135,180,50,10,2,3,0.8703703703703703
92,140,190,55,11,1.2727272727272727,2,0.7
111,180,190,15,3,1,1,1.0
101,155,190,40,8,1,1,1.0
109,175,195,25,5,3.2,7,0.6488095238095238
80,115,195,85,17,1,1,1.0
53,60,195,140,28,1,1,1.0
13,0,200,205,41,1.4146341463414633,3,0.8125
119,200,200,5,1,1,1,0.0
110,175,205,35,7,1,1,1.0
106,170,210,45,9,1,1,1.0
73,105,210,110,22,2.5,4,0.7261904761904762
79,110,215,110,22,1.1818181818181819,2,0.8571428571428571
120,220,225,10,2,1,1,1.0
123,230,230,5,1,1,1,0.0
125,235,235,5,1,1,1,0.0
48,50,235,190,38,1,1,1.0
90,140,240,105,21,1.380952380952381,3,0.8333333333333334
121,225,240,20,4,1,1,1.0
116,200,245,50,10,1.8,3,0.7037037037037037
128,245,245,5,1,1,1,0.0
7,0,250,255,51,1.3333333333333333,3,0.9133333333333333
132,260,260,5,1,1,1,0.0
127,240,260,25,5,1,1,1.0
133,260,260,5,1,1,1,0.0
130,255,260,10,2,1.5,2,0.5
134,260,260,5,1,1,1,0.0
113,180,260,85,17,1,1,1.0
132,270,270,5,1,2,2,0.0
118,200,275,80,16,1.625,3,0.7888888888888889
132,285,285,5,1,4,4,0.0
114,190,285,100,20,1.15,3,0.9122807017543859
135,285,285,5,1,1,1,0.0
117,200,290,95,19,1,1,1.0
25,0,290,295,59,1,1,1.0
115,200,295,100,20,94.35,99,0.9770502400592439
137,295,295,5,1,4,4,0.0
119,220,295,80,16,1.5,2,0.9
97,150,295,150,30,2.1,3,0.8908045977011494
138,295,295,5,1,2,2,0.0
129,250,295,50,10,1.1,2,0.9444444444444444
124,235,295,65,13,1.0769230769230769,2,0.9166666666666666
5,0,295,300,60,1.8166666666666667,4,0.8714689265536724
126,240,295,60,12,1,1,1.0
8,0,295,300,60,1.3333333333333333,3,0.9378531073446328
2,0,295,300,60,1.35,3,0.9463276836158192
12,0,295,300,60,1,1,1.0
133,285,295,15,3,1,1,1.0
134,285,295,15,3,1,1,1.0
139,295,295,5,1,1,1,0.0
122,225,295,75,15,1,1,1.0
131,255,295,45,9,1,1,1.0
15,0,295,300,60,1.2,3,0.9717514124293786
103,160,295,140,28,1,1,1.0
67,85,295,215,43,1.0232558139534884,2,0.9761904761904762
136,290,295,10,2,1,1,1.0
