seed,final_states,final_avg_p,avg_proto_distance,threshold,cluster_count,largest_cluster,mean_cluster_size,isolated_states,strong_joins,top_sizes
35,120,0.07710264673024332,1.7646008361904593,0.25,1,120,120,0,2892,120
35,120,0.07710264673024332,1.7646008361904593,0.4,5,114,24,3,1452,114 3 1 1 1
35,120,0.07710264673024332,1.7646008361904593,0.6,16,99,7.5,10,494,99 3 2 2 2 2 1 1 1 1
35,120,0.07710264673024332,1.7646008361904593,0.8,61,18,1.9672131147540983,44,82,18 13 8 4 3 3 3 3 3 3
36,36,0.014094520668097334,3.162911528189244,0.15,1,36,36,0,113,36
36,36,0.014094520668097334,3.162911528189244,0.25,1,36,36,0,63,36
36,36,0.014094520668097334,3.162911528189244,0.4,14,6,2.5714285714285716,4,27,6 5 4 3 3 3 2 2 2 2
36,36,0.014094520668097334,3.162911528189244,0.6,27,3,1.3333333333333333,19,9,3 2 2 2 2 2 2 2 1 1
36,36,0.014094520668097334,3.162911528189244,0.8,35,2,1.0285714285714285,34,1,2 1 1 1 1 1 1 1 1 1
37,34,0.010252250195439301,3.171853468245271,0.15,1,34,34,0,102,34
37,34,0.010252250195439301,3.171853468245271,0.25,1,34,34,0,52,34
37,34,0.010252250195439301,3.171853468245271,0.4,22,5,1.5454545454545454,16,14,5 3 3 3 2 2 1 1 1 1
37,34,0.010252250195439301,3.171853468245271,0.6,31,2,1.096774193548387,28,3,2 2 2 1 1 1 1 1 1 1
37,34,0.010252250195439301,3.171853468245271,0.8,34,1,1,34,0,1 1 1 1 1 1 1 1 1 1
38,29,0.01198485864482355,3.1721719693364605,0.15,1,29,29,0,70,29
38,29,0.01198485864482355,3.1721719693364605,0.25,3,22,9.666666666666666,1,45,22 6 1
38,29,0.01198485864482355,3.1721719693364605,0.4,19,5,1.5263157894736843,15,13,5 4 3 2 1 1 1 1 1 1
38,29,0.01198485864482355,3.1721719693364605,0.6,26,3,1.1153846153846154,24,4,3 2 1 1 1 1 1 1 1 1
38,29,0.01198485864482355,3.1721719693364605,0.8,28,2,1.0357142857142858,27,1,2 1 1 1 1 1 1 1 1 1
39,27,0.015605490304741955,3.118434932533899,0.15,1,27,27,0,57,27
39,27,0.015605490304741955,3.118434932533899,0.25,5,17,5.4,2,36,17 5 3 1 1
39,27,0.015605490304741955,3.118434932533899,0.4,13,5,2.076923076923077,6,18,5 5 3 2 2 2 2 1 1 1
39,27,0.015605490304741955,3.118434932533899,0.6,18,4,1.5,11,9,4 2 2 2 2 2 2 1 1 1
39,27,0.015605490304741955,3.118434932533899,0.8,26,2,1.0384615384615385,25,1,2 1 1 1 1 1 1 1 1 1
40,120,0.06728208211294112,1.7555262524502073,0.15,1,120,120,0,4279,120
40,120,0.06728208211294112,1.7555262524502073,0.25,2,119,60,1,2789,119 1
40,120,0.06728208211294112,1.7555262524502073,0.4,4,117,30,3,1381,117 1 1 1
40,120,0.06728208211294112,1.7555262524502073,0.6,12,104,10,8,472,104 3 3 2 1 1 1 1 1 1
40,120,0.06728208211294112,1.7555262524502073,0.8,57,13,2.1052631578947367,36,90,13 9 9 6 6 4 3 3 3 3
41,120,0.19372879585584835,1.4499809837670914,0.15,1,120,120,0,5250,120
41,120,0.19372879585584835,1.4499809837670914,0.25,5,106,24,0,4941,106 4 4 3 3
41,120,0.19372879585584835,1.4499809837670914,0.4,11,102,10.909090909090908,6,4005,102 4 3 3 2 1 1 1 1 1
41,120,0.19372879585584835,1.4499809837670914,0.6,19,101,6.315789473684211,17,1980,101 2 1 1 1 1 1 1 1 1
41,120,0.19372879585584835,1.4499809837670914,0.8,25,93,4.8,21,459,93 2 2 2 1 1 1 1 1 1
42,33,0.014884965646752322,3.103475339716278,0.15,1,33,33,0,102,33
42,33,0.014884965646752322,3.103475339716278,0.25,3,28,11,1,56,28 4 1
42,33,0.014884965646752322,3.103475339716278,0.4,15,9,2.2,9,21,9 5 3 3 2 2 1 1 1 1
42,33,0.014884965646752322,3.103475339716278,0.6,26,3,1.2692307692307692,20,8,3 2 2 2 2 2 1 1 1 1
42,33,0.014884965646752322,3.103475339716278,0.8,31,3,1.064516129032258,30,2,3 1 1 1 1 1 1 1 1 1
43,36,0.016615751429383818,3.109495678356745,0.15,1,36,36,0,105,36
43,36,0.016615751429383818,3.109495678356745,0.25,2,30,18,0,66,30 6
43,36,0.016615751429383818,3.109495678356745,0.4,14,7,2.5714285714285716,7,33,7 6 6 3 3 2 2 1 1 1
43,36,0.016615751429383818,3.109495678356745,0.6,29,4,1.2413793103448276,24,10,4 2 2 2 2 1 1 1 1 1
43,36,0.016615751429383818,3.109495678356745,0.8,35,2,1.0285714285714285,34,1,2 1 1 1 1 1 1 1 1 1
44,31,0.014753434052425851,3.1493904241833297,0.15,1,31,31,0,90,31
44,31,0.014753434052425851,3.1493904241833297,0.25,4,27,7.75,2,47,27 2 1 1
44,31,0.014753434052425851,3.1493904241833297,0.4,14,6,2.2142857142857144,6,20,6 4 4 3 2 2 2 2 1 1
44,31,0.014753434052425851,3.1493904241833297,0.6,25,2,1.24,19,6,2 2 2 2 2 2 1 1 1 1
44,31,0.014753434052425851,3.1493904241833297,0.8,28,2,1.1071428571428572,25,3,2 2 2 1 1 1 1 1 1 1
45,31,0.011992400064238845,3.1987973155640037,0.15,1,31,31,0,85,31
45,31,0.011992400064238845,3.1987973155640037,0.25,3,29,10.333333333333334,2,41,29 1 1
45,31,0.011992400064238845,3.1987973155640037,0.4,18,5,1.7222222222222223,11,16,5 4 3 2 2 2 2 1 1 1
45,31,0.011992400064238845,3.1987973155640037,0.6,25,4,1.24,21,6,4 2 2 2 1 1 1 1 1 1
45,31,0.011992400064238845,3.1987973155640037,0.8,31,1,1,31,0,1 1 1 1 1 1 1 1 1 1
46,34,0.013163594707250637,3.01036449402693,0.15,1,34,34,0,124,34
46,34,0.013163594707250637,3.01036449402693,0.25,2,31,17,0,64,31 3
46,34,0.013163594707250637,3.01036449402693,0.4,12,8,2.8333333333333335,5,30,8 5 5 4 3 2 2 1 1 1
46,34,0.013163594707250637,3.01036449402693,0.6,25,4,1.36,19,9,4 3 2 2 2 2 1 1 1 1
46,34,0.013163594707250637,3.01036449402693,0.8,33,2,1.0303030303030303,32,1,2 1 1 1 1 1 1 1 1 1
47,30,0.015254027360108554,3.0008574574012967,0.15,1,30,30,0,93,30
47,30,0.015254027360108554,3.0008574574012967,0.25,3,27,10,1,40,27 2 1
47,30,0.015254027360108554,3.0008574574012967,0.4,17,5,1.7647058823529411,8,16,5 3 2 2 2 2 2 2 2 1
47,30,0.015254027360108554,3.0008574574012967,0.6,22,3,1.3636363636363635,16,9,3 3 2 2 2 2 1 1 1 1
47,30,0.015254027360108554,3.0008574574012967,0.8,28,2,1.0714285714285714,26,2,2 2 1 1 1 1 1 1 1 1
48,36,0.009426825678647631,3.180388507463984,0.15,1,36,36,0,107,36
48,36,0.009426825678647631,3.180388507463984,0.25,2,33,18,0,49,33 3
48,36,0.009426825678647631,3.180388507463984,0.4,16,6,2.25,7,21,6 5 4 3 3 2 2 2 2 1
48,36,0.009426825678647631,3.180388507463984,0.6,35,2,1.0285714285714285,34,1,2 1 1 1 1 1 1 1 1 1
48,36,0.009426825678647631,3.180388507463984,0.8,36,1,1,36,0,1 1 1 1 1 1 1 1 1 1
49,29,0.015410116050980052,3.1409934402377018,0.15,1,29,29,0,76,29
49,29,0.015410116050980052,3.1409934402377018,0.25,4,14,7.25,1,40,14 9 5 1
49,29,0.015410116050980052,3.1409934402377018,0.4,13,6,2.230769230769231,7,19,6 6 3 3 2 2 1 1 1 1
49,29,0.015410116050980052,3.1409934402377018,0.6,21,3,1.380952380952381,15,9,3 3 2 2 2 2 1 1 1 1
49,29,0.015410116050980052,3.1409934402377018,0.8,28,2,1.0357142857142858,27,1,2 1 1 1 1 1 1 1 1 1
