step,undamped_mean,undamped_std,adaptive_mean,adaptive_std
84,1.428049573700289,4.440892098500626e-16,1.0000000000156568,0.0
85,1.428093409509465,0.0,1.0000000000118991,0.0
86,1.42813356311067,0.0,1.0000000000090439,4.440892098500626e-16
87,1.4281703438093738,0.0,1.0000000000068732,2.220446049250313e-16
88,1.4282040349293863,0.0,1.000000000005223,4.440892098500626e-16
89,1.4282348959953177,2.220446049250313e-16,1.0000000000039697,0.0
90,1.4282631647317108,4.440892098500626e-16,1.0000000000030167,2.220446049250313e-16
91,1.4282890588942474,0.0,1.0000000000022928,0.0
92,1.4283127779471305,0.0,1.0000000000017422,4.440892098500626e-16
93,1.428334504599572,4.440892098500626e-16,1.0000000000013247,4.440892098500626e-16
94,1.4283544062132068,6.661338147750939e-16,1.0000000000010065,0.0
95,1.4283726360912974,6.661338147750939e-16,1.000000000000765,0.0
96,1.4283893346596284,6.661338147750939e-16,1.0000000000005813,0.0
97,1.4284046305482194,6.661338147750939e-16,1.0000000000004419,0.0
98,1.4284186415821696,0.0,1.0000000000003353,4.440892098500626e-16
99,1.4284314756892666,6.661338147750939e-16,1.0000000000002554,2.220446049250313e-16
100,1.4284432317313684,4.440892098500626e-16,1.000000000000194,2.220446049250313e-16
101,1.4284540002659336,2.220446049250313e-16,1.000000000000147,2.220446049250313e-16
102,1.4284638642435956,2.220446049250313e-16,1.0000000000001124,4.440892098500626e-16
103,1.4284728996471332,2.220446049250313e-16,1.000000000000085,0.0
104,1.4284811760767735,6.661338147750939e-16,1.0000000000000644,2.220446049250313e-16
105,1.428488757286325,2.220446049250313e-16,1.0000000000000493,2.220446049250313e-16
106,1.4284957016742732,6.661338147750939e-16,1.0000000000000369,4.440892098500626e-16
107,1.428502062733635,0.0,1.0000000000000284,0.0
108,1.4285078894640089,6.661338147750939e-16,1.0000000000000215,0.0
109,1.4285132267490328,0.0,1.0000000000000164,0.0
110,1.4285181157021145,4.440892098500626e-16,1.0000000000000129,4.440892098500626e-16
111,1.428522593983136,4.440892098500626e-16,1.0000000000000095,0.0
112,1.4285266960885534,4.440892098500626e-16,1.0000000000000073,0.0
113,1.4285304536171142,4.440892098500626e-16,1.0000000000000058,2.220446049250313e-16
114,1.4285338955132767,2.220446049250313e-16,1.000000000000004,2.220446049250313e-16
115,1.428537048290161,6.661338147750939e-16,1.0000000000000033,2.220446049250313e-16
116,1.4285399362337887,6.661338147750939e-16,1.0000000000000024,0.0
117,1.4285425815901502,4.440892098500626e-16,1.0000000000000013,4.440892098500626e-16
118,1.4285450047365773,0.0,1.0000000000000013,0.0
119,1.4285472243387043,4.440892098500626e-16,1.000000000000001,0.0
120,1.4285492574942535,0.0,1.0000000000000004,4.440892098500626e-16
121,1.4285511198647358,4.440892098500626e-16,1.0000000000000004,2.220446049250313e-16
122,1.4285528257960989,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
123,1.4285543884292264,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
124,1.4285558198011716,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
125,1.4285571309378726,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
126,1.428558331939091,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
127,1.4285594320562078,0.0,1.0000000000000002,2.220446049250313e-16
128,1.4285604397634868,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
129,1.4285613628233529,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
130,1.4285622083461922,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
131,1.4285629828451116,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
132,1.4285636922861225,0.0,1.0000000000000002,2.220446049250313e-16
133,1.4285643421340881,0.0,1.0000000000000002,2.220446049250313e-16
134,1.4285649373948248,0.0,1.0000000000000002,2.220446049250313e-16
135,1.4285654826536598,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
136,1.4285659821107517,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
137,1.4285664396134488,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
138,1.428566858685919,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
139,1.4285672425563016,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
140,1.4285675941815728,0.0,1.0000000000000002,2.220446049250313e-16
141,1.4285679162703209,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
142,1.4285682113036133,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
143,1.4285684815541098,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
144,1.4285687291035645,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
145,1.4285689558588652,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
146,1.4285691635667208,0.0,1.0000000000000002,2.220446049250313e-16
147,1.4285693538271156,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
148,1.4285695281056379,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
149,1.4285696877447653,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
150,1.4285698339742046,0.0,1.0000000000000002,2.220446049250313e-16
151,1.4285699679203712,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
152,1.4285700906150607,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
153,1.4285702030033955,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
154,1.4285703059511095,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
155,1.4285704002512172,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
156,1.4285704866301145,0.0,1.0000000000000002,2.220446049250313e-16
157,1.4285705657531844,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
158,1.4285706382299173,0.0,1.0000000000000002,2.220446049250313e-16
159,1.4285707046186042,0.0,1.0000000000000002,2.220446049250313e-16
160,1.4285707654306419,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
161,1.4285708211344676,0.0,1.0000000000000002,2.220446049250313e-16
162,1.428570872159173,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
163,1.4285709188978015,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
164,1.428570961710386,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
165,1.4285710009267136,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
166,1.4285710368488695,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
167,1.4285710697535654,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
168,1.428571099894266,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
169,1.4285711275031472,0.0,1.0000000000000002,2.220446049250313e-16
170,1.428571152792883,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
171,1.4285711759582813,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
172,1.428571197177785,0.0,1.0000000000000002,2.220446049250313e-16
173,1.4285712166148512,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
174,1.428571234419203,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
175,1.4285712507279908,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
176,1.4285712656668392,0.0,1.0000000000000002,2.220446049250313e-16
177,1.428571279350824,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
178,1.428571291885355,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
179,1.428571303366986,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
180,1.4285713138841591,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
181,1.4285713235178894,0.0,1.0000000000000002,2.220446049250313e-16
182,1.4285713323423865,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
183,1.4285713404256266,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
184,1.4285713478298734,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
185,1.428571354612164,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
186,1.4285713608247432,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
187,1.428571366515464,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
188,1.4285713717281647,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
189,1.428571376503,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
190,1.428571380876747,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
191,1.4285713848831003,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
192,1.4285713885529203,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
193,1.4285713919144745,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
194,1.4285713949936596,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
195,1.4285713978141918,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
196,1.4285714003977998,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
197,1.4285714027643843,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
198,1.4285714049321756,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
199,1.428571406917874,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
200,1.428571408736772,0.0,1.0000000000000002,2.220446049250313e-16
201,1.428571410402884,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
202,1.4285714119290416,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
203,1.4285714133270022,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
204,1.428571414607533,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
205,1.4285714157805005,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
206,1.4285714168549388,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
207,1.4285714178391233,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
208,1.4285714187406375,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
209,1.4285714195664239,0.0,1.0000000000000002,2.220446049250313e-16
210,1.428571420322844,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
211,1.4285714210157254,0.0,1.0000000000000002,2.220446049250313e-16
212,1.4285714216504042,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
213,1.4285714222317702,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
214,1.4285714227643025,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
215,1.4285714232521007,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
216,1.4285714236989238,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
217,1.4285714241082141,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
218,1.4285714244831242,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
219,1.4285714248265426,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
220,1.428571425141112,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
221,1.4285714254292587,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
222,1.4285714256932005,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
223,1.4285714259349722,0.0,1.0000000000000002,2.220446049250313e-16
224,1.4285714261564346,0.0,1.0000000000000002,2.220446049250313e-16
225,1.4285714263592941,0.0,1.0000000000000002,2.220446049250313e-16
226,1.4285714265451128,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
227,1.4285714267153233,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
228,1.4285714268712368,0.0,1.0000000000000002,2.220446049250313e-16
229,1.4285714270140526,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
230,1.428571427144873,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
231,1.4285714272647034,0.0,1.0000000000000002,2.220446049250313e-16
232,1.4285714273744683,0.0,1.0000000000000002,2.220446049250313e-16
233,1.4285714274750132,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
234,1.4285714275671113,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
235,1.428571427651474,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
236,1.428571427728751,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
237,1.4285714277995358,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
238,1.428571427864374,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
239,1.4285714279237671,0.0,1.0000000000000002,2.220446049250313e-16
240,1.4285714279781703,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
241,1.4285714280280042,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
242,1.4285714280736526,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
243,1.428571428115465,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
244,1.4285714281537663,0.0,1.0000000000000002,2.220446049250313e-16
245,1.4285714281888497,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
246,1.428571428220987,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
247,1.4285714282504243,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
248,1.4285714282773876,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
249,1.4285714283020878,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
250,1.4285714283247122,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
251,1.4285714283454356,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
252,1.4285714283644202,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
253,1.4285714283818083,0.0,1.0000000000000002,2.220446049250313e-16
254,1.4285714283977358,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
255,1.428571428412326,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
256,1.4285714284256912,0.0,1.0000000000000002,2.220446049250313e-16
257,1.4285714284379336,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
258,1.4285714284491464,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
259,1.428571428459418,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
260,1.4285714284688278,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
261,1.4285714284774462,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
262,1.4285714284853408,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
263,1.4285714284925712,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
264,1.428571428499196,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
265,1.428571428505264,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
266,1.428571428510821,0.0,1.0000000000000002,2.220446049250313e-16
267,1.4285714285159121,0.0,1.0000000000000002,2.220446049250313e-16
268,1.4285714285205762,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
269,1.4285714285248472,0.0,1.0000000000000002,2.220446049250313e-16
270,1.4285714285287598,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
271,1.4285714285323439,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
272,1.4285714285356272,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
273,1.4285714285386353,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
274,1.428571428541389,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
275,1.4285714285439122,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
276,1.428571428546224,0.0,1.0000000000000002,2.220446049250313e-16
277,1.4285714285483413,0.0,1.0000000000000002,2.220446049250313e-16
278,1.428571428550281,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
279,1.4285714285520574,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
280,1.4285714285536846,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
281,1.4285714285551743,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
282,1.4285714285565403,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
283,1.4285714285577908,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
284,1.428571428558936,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
285,1.4285714285599849,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
286,1.4285714285609468,0.0,1.0000000000000002,2.220446049250313e-16
287,1.4285714285618274,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
288,1.4285714285626339,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
289,1.4285714285633728,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
290,1.428571428564049,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
291,1.4285714285646696,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
292,1.4285714285652373,4.440892098500626e-16,1.0000000000000002,2.220446049250313e-16
293,1.428571428565757,0.0,1.0000000000000002,2.220446049250313e-16
294,1.4285714285662332,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16
295,1.4285714285666697,0.0,1.0000000000000002,2.220446049250313e-16
296,1.4285714285670688,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
297,1.4285714285674362,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
298,1.428571428567771,0.0,1.0000000000000002,2.220446049250313e-16
299,1.4285714285680777,6.661338147750939e-16,1.0000000000000002,2.220446049250313e-16
