seed,final_states,avg_proto_distance,track_count,mean_lifetime,max_lifetime,stable_track_count,mean_track_size,final_avg_memory,final_max_memory
0,120,2.1484552643014343,147,61.02040816326531,300,105,1.8765679771608699,0.36018125201567924,0.5047668567422962
1,40,3.1761377860689417,155,58.61290322580645,300,118,1.1436468705231269,0.36761132757783027,0.5047668567422962
2,120,2.2585450684758928,168,53.30357142857143,300,128,1.6861330362694178,0.40038926163704014,0.5047668567422962
3,120,2.214952772365947,135,60.111111111111114,300,92,1.8601097511642815,0.40701879477578246,0.5047668567422962
4,120,2.169177507165598,151,56.688741721854306,300,111,1.8176695831866474,0.3786627016273522,0.5047668567422962
5,120,2.306051205797328,154,53.63636363636363,300,111,1.7421416013531341,0.37510804438620604,0.5047668567422962
6,120,2.2403227208317036,153,55.032679738562095,300,103,1.7267495341493746,0.3795238783846473,0.5047668567422962
7,120,2.056191030317766,142,66.26760563380282,300,111,1.7951293770649221,0.19538165239496597,0.5047668567422962
8,120,2.166051217192858,144,62.013888888888886,300,104,1.9746207490440302,0.34416875673091,0.5047668567422962
9,120,2.3077458639838757,173,42.65895953757225,300,107,1.9620492311656745,0.43754868726038804,0.5047668567422962
10,120,2.2336500180796017,152,61.151315789473685,300,113,1.7492240185503534,0.3457737350367505,0.5047668567422962
11,120,2.132168144278752,128,66.328125,300,88,1.8529230085613764,0.3424037323245275,0.5047668567422962
12,120,2.201153138023814,142,61.901408450704224,300,105,1.785728408689796,0.40353337168844206,0.5047668567422962
13,120,2.047438649436644,144,60.03472222222222,300,108,1.8143896341355448,0.26787378175143284,0.5047668567422962
14,120,2.3850169594635164,162,55.15432098765432,300,130,1.6724621497063332,0.3971881950203033,0.5047668567422962
15,120,1.9422538564779084,143,67.34265734265735,300,112,1.7050477493917247,0.21344471635346104,0.5047668567422962
16,120,2.281774192695775,159,58.742138364779876,300,111,1.6461484361182919,0.28716596912238646,0.5047668567422962
17,120,2.388669466899258,150,61.86666666666667,300,107,1.875858425683451,0.39762851962542123,0.5047668567422962
18,120,2.2933952571202614,186,48.413978494623656,300,138,1.7579654781151735,0.40727222822284836,0.5047668567422962
19,120,2.2634407645905994,144,65.97222222222223,300,108,1.7152483516851642,0.31819839874642597,0.5047668567422962
20,120,2.0122865466331525,146,64.14383561643835,300,113,1.7145909309482656,0.1901298586633262,0.5047668567422962
21,120,2.295801054478301,151,58.01324503311258,300,106,1.8323646974624375,0.3935386424714424,0.5047668567422962
22,120,1.9718607900231113,147,60.64625850340136,300,105,1.8719826268067272,0.32017455097981123,0.5047668567422962
23,120,2.3813885059528235,177,52.48587570621469,300,125,1.9157748859089652,0.38810037812291476,0.5047668567422962
24,120,2.038939005377425,152,58.58552631578947,300,115,1.875079149185448,0.17627506406744403,0.5047668567422962
25,120,2.292890059104567,159,56.19496855345912,300,117,1.7318154275032216,0.36434776525471846,0.5047668567422962
26,39,3.086314747622259,158,55.79113924050633,300,126,1.2025413883890606,0.2983845741656739,0.5047668567422962
27,120,2.6217962307194935,155,60,300,120,1.813781647519333,0.2581788728278241,0.5047668567422962
28,120,2.0977978500357364,146,55.68493150684932,300,107,1.7698362448645417,0.38446991637192207,0.5047668567422962
29,120,2.2861881003181366,177,50.19774011299435,300,121,1.602155927013028,0.34044995048003196,0.5047668567422962
30,120,2.253182168228097,134,66.45522388059702,300,97,1.9784406879940521,0.32712450406474763,0.5047668567422962
31,120,2.3426608256883648,169,52.0414201183432,300,129,1.7666189243880532,0.41164696731651584,0.5047668567422962
32,120,2.3818604548640394,181,46.574585635359114,290,130,1.8078339137558457,0.4081514014562231,0.5004131676384612
33,120,2.0883930505702333,158,55.41139240506329,300,120,1.6895525277591372,0.2145235501120279,0.5047668567422962
34,120,1.8235399669197,136,71.65441176470588,300,114,1.3324518021090506,0.20058870649385233,0.5047668567422962
35,120,2.0803499608644374,146,65.71917808219177,300,110,1.7290018279351311,0.23919396008449764,0.5047668567422962
36,120,2.165749165283735,147,63.333333333333336,300,101,1.7308549813756706,0.35194911938041507,0.5047668567422962
37,120,2.0847815367642872,158,58.449367088607595,300,123,1.6349131520843596,0.21702131828675084,0.5047668567422962
38,120,2.309267356109926,164,53.99390243902439,300,118,1.681852935834324,0.3709839679049248,0.5047668567422962
39,40,3.1544767374320735,144,66.875,300,110,1.152629166509808,0.36098684963954797,0.5047668567422962
40,120,2.370195031621935,207,38.93719806763285,300,121,1.8804979021815451,0.4226691705131157,0.5047668567422962
41,120,2.108692785113544,138,65,300,109,1.7786324068134889,0.30037189154280514,0.5047668567422962
42,120,2.285709501398963,179,48.37988826815643,300,137,1.7301473268299532,0.39847599320223415,0.5047668567422962
43,120,2.130817126991189,138,67.3913043478261,300,107,1.7917493350408533,0.2672115665855857,0.5047668567422962
44,120,2.036177180477433,162,56.51234567901235,300,124,1.705061083052572,0.18946169765953944,0.5047668567422962
45,120,2.2957591855247594,153,55.65359477124183,300,109,1.750911298944999,0.3574354757289206,0.5047668567422962
46,120,2.2560643655065427,170,48.088235294117645,300,111,1.7742442771726055,0.42681768934413405,0.5047668567422962
47,120,2.0847739826403706,155,57.87096774193548,300,117,1.926867335270597,0.23523439176949804,0.5047668567422962
48,120,2.3077578507929872,151,59.966887417218544,300,114,1.8361529858113241,0.3740720172860922,0.5047668567422962
49,120,2.227718126832524,160,51.53125,300,116,1.6976623917183244,0.3841676914963692,0.5047668567422962
