j_name,seed,a5_init,final_states,stable_tracks,geo_score,node_count,edge_count,component_count,largest_component,mean_geodesic_d,max_geodesic_d,clustering_coeff,mean_edge_K,sparsity,diameter,e_per_n,regime,final_avg_memory
metric_exp,0,False,120,32,0.6920790367733134,32,42,6,15,2.8522140687996007,7.2407750670632085,0.42604166666666665,0.395780070214831,0.9153,7.2408,1.312,geometrisch,0.36018125201567924
metric_exp,1,False,40,31,0.7315452547492537,31,50,4,15,3.0714642347700196,8.829697097489232,0.44086021505376344,0.4080322579641818,0.8925,8.8297,1.613,geometrisch,0.36761132757783027
metric_exp,2,False,120,30,0.6412856772782783,30,40,6,11,2.1232691011211227,6.494499549398165,0.5511111111111111,0.4107289776332081,0.908,6.4945,1.333,geometrisch,0.40038926163704014
metric_exp,3,False,120,29,0.5576669146812233,29,39,8,9,1.3144049602911307,3.103027470415465,0.43333333333333335,0.42812132801215413,0.9039,3.103,1.345,geometrisch,0.40701879477578246
metric_exp,4,False,120,29,0.642397894015411,29,38,6,14,2.3908636274346575,5.986291919987991,0.3528735632183908,0.41042213302361436,0.9064,5.9863,1.31,geometrisch,0.3786627016273522
metric_exp,5,False,120,27,0.5458923179073807,27,26,10,9,1.8833080865426746,4.5641486299209335,0.4012345679012346,0.41761585127950956,0.9259,4.5641,0.963,geometrisch,0.37510804438620604
metric_exp,6,False,120,27,0.4835799503147171,27,25,7,7,1.8747693766647109,5.369410968414098,0.2074074074074074,0.43524271265869424,0.9288,5.3694,0.926,geometrisch,0.3795238783846473
metric_exp,7,False,120,33,0.7471646290067985,33,52,6,18,2.835797630641019,7.258124588727813,0.43737373737373736,0.37151645603819716,0.9015,7.2581,1.576,geometrisch,0.19538165239496597
metric_exp,8,False,120,31,0.6878071686255871,31,48,5,13,2.2793949854149687,6.036727029984595,0.5483870967741935,0.40105854999288854,0.8968,6.0367,1.548,geometrisch,0.34416875673091
metric_exp,9,False,120,21,0.43901094827863685,21,14,9,6,1.6241300766838471,4.126850607630274,0.2222222222222222,0.44912641725102853,0.9333,4.1269,0.667,geometrisch,0.43754868726038804
metric_exp,10,False,120,32,0.6788996043089993,32,42,4,16,3.059458752846653,8.288281096762827,0.2583333333333333,0.37469589683166715,0.9153,8.2883,1.312,geometrisch,0.3457737350367505
metric_exp,11,False,120,34,0.5865885071086708,34,45,10,8,1.5849622990361611,4.297506651307785,0.5549019607843138,0.4683106125446591,0.9198,4.2975,1.324,geometrisch,0.3424037323245275
metric_exp,12,False,120,35,0.785615238095238,35,49,2,34,6.297281313383092,15.371983827316901,0.31047619047619046,0.3881155682802017,0.9176,15.372,1.4,geometrisch,0.40353337168844206
metric_exp,13,False,120,29,0.5529341996734671,29,33,9,8,1.5538610049635944,4.707936437886057,0.4885057471264368,0.4099582053868319,0.9187,4.7079,1.138,geometrisch,0.26787378175143284
metric_exp,14,False,120,34,0.8098248869994933,34,59,5,25,3.3416954990935053,7.82649069379718,0.45140056022408964,0.40205162057660626,0.8948,7.8265,1.735,geometrisch,0.3971881950203033
metric_exp_a5init,0,True,120,35,0.6386650026790118,35,55,7,11,2.0104238631040445,6.721513132971752,0.44761904761904764,0.4696537422068011,0.9076,6.7215,1.571,geometrisch,0.3058207668593923
anisotropic_exp,0,False,120,33,0.6966783223779763,33,49,5,15,2.346887659680737,6.351813415046375,0.49696969696969695,0.3645074877095684,0.9072,6.3518,1.485,geometrisch,0.3729297205530041
anisotropic_exp,1,False,120,32,0.6541057907929331,32,51,3,16,2.321982482525326,6.370250423044958,0.19583333333333333,0.3891389323256988,0.8972,6.3703,1.594,geometrisch,0.18092331467054917
anisotropic_exp,2,False,120,24,0.5683577572807104,24,30,8,7,1.4686218122808743,4.016648706459846,0.6083333333333333,0.46613971303804985,0.8913,4.0166,1.25,geometrisch,0.4149186731439688
anisotropic_exp,3,False,120,27,0.8413795061728396,27,41,4,18,4.047382277561151,10.496194608873322,0.6641975308641975,0.41243316469756297,0.8832,10.4962,1.519,geometrisch,0.27108555129563316
anisotropic_exp,4,False,120,25,0.7332549327221349,25,29,4,19,3.7052319877760294,9.588698384265866,0.30666666666666664,0.3886154624565391,0.9033,9.5887,1.16,geometrisch,0.42637485859554836
anisotropic_exp,5,False,120,27,0.7662051863811916,27,34,6,18,3.8011111350312405,8.578179598999021,0.44814814814814813,0.4137935940968902,0.9031,8.5782,1.259,geometrisch,0.41620668766977864
anisotropic_exp,6,False,120,31,0.6044496262300925,31,39,4,10,2.5107430622362563,6.576992028690009,0.34946236559139787,0.4015069893478128,0.9161,6.577,1.258,geometrisch,0.3988382008535194
anisotropic_exp,7,False,120,30,0.7322274027116168,30,44,4,15,2.870503609787888,7.079110096743234,0.5611111111111111,0.4339773404303509,0.8989,7.0791,1.467,geometrisch,0.1817951267265587
anisotropic_exp,8,False,120,28,0.6851777676739992,28,43,5,11,2.486755353479983,7.2884986556679685,0.6,0.39566577791651714,0.8862,7.2885,1.536,geometrisch,0.38925025102053634
anisotropic_exp,9,False,120,26,0.5677576798976982,26,30,8,10,1.7562803378807037,4.121245284245488,0.41501831501831504,0.3876566773908419,0.9077,4.1212,1.154,geometrisch,0.43738530606256276
anisotropic_exp,10,False,120,29,0.7246913115500688,29,34,5,16,3.376580253989883,8.31814698666661,0.47701149425287354,0.4184313727021837,0.9163,8.3181,1.172,geometrisch,0.3600374923847807
