j_name,seed,final_states,final_avg_p,final_avg_memory,final_max_memory,track_count,stable_tracks,node_count,edge_count,density,component_count,largest_component,mean_degree,max_degree,degree_std,mean_weighted_degree,mean_edge_K,mean_edge_d,mean_geodesic_d,max_geodesic_d,closeness_mean,clustering_coefficient,triangle_count,effective_dim,mds_cumvar_top5,gromov_delta_max,gromov_delta_mean,gromov_samples,mean_K_asymmetry,prop_monotone,prop_gradual,prop_local,prop_continuous,prop_symmetric,prop_cutoff,prop_resonant,prop_random_like,prop_long_range,prop_norm_family,prop_comment,geometry_quality,icosahedrality,comath_property_score,classification
metric_exp,0,120,0.09238311596518682,0.36018125201567924,0.5047668567422962,147,32,32,43,0.08669354838709678,5,15,2.6875,6,1.4882351124738322,1.0548165542964651,0.3924898806684522,0.9861688889360829,2.9558132285832976,7.2407750670632085,0.41435258637759,0.42604166666666665,19,4,0.5671;0.771;0.879;0.9332,0.7942030881155979,0.03841979087303036,300,0.0,1,1,1,1,1,0,0,0,moderate,L1,S7/S8 baseline,1.0,0.5374455715329346,1.0,ICO_CANDIDATE
metric_exp,1,40,0.04210631759248555,0.36761132757783027,0.5047668567422962,155,31,31,50,0.10752688172043011,4,15,3.225806451612903,6,1.4526877740900261,1.316233090207038,0.4080322579641818,0.9503947050475521,3.0714642347700196,8.829697097489232,0.5176511984546218,0.44086021505376344,27,3,0.6168;0.8314;0.9464,0.9941202952251924,0.04030104429043861,300,0.0,1,1,1,1,1,0,0,0,moderate,L1,S7/S8 baseline,1.0,0.5207549757695874,1.0,ICO_CANDIDATE
metric_exp,2,120,0.10703638000822338,0.40038926163704014,0.5047668567422962,168,30,30,40,0.09195402298850575,6,11,2.6666666666666665,6,1.3743685418725535,1.0972893722628283,0.41148351459856064,0.933605046414691,2.1224862423543014,6.494499549398165,0.665628907728802,0.5511111111111111,17,4,0.4263;0.6669;0.8159;0.9151,0.5640737669875726,0.06650401078667444,260,0.0,1,1,1,1,1,0,0,0,moderate,L1,S7/S8 baseline,1.0,0.5321513679400849,1.0,ICO_CANDIDATE
metric_exp,3,120,0.07677743488371146,0.40701879477578246,0.5047668567422962,135,29,29,39,0.0960591133004926,8,9,2.689655172413793,6,1.763684393454403,1.1416260235420566,0.4244507010605082,0.9117205954067394,1.3251144212571697,3.103027470415465,0.9157423686902705,0.43333333333333335,22,6,0.2935;0.4784;0.6371;0.7678;0.8587,0.558550651887035,0.08822290153308404,107,0.0,1,1,1,1,1,0,0,0,moderate,L1,S7/S8 baseline,0.9872727272727273,0.5250203482824359,1.0,ICO_CANDIDATE
metric_exp,4,120,0.10336111061701315,0.3786627016273522,0.5047668567422962,151,29,29,39,0.0960591133004926,5,14,2.689655172413793,7,1.4646041780410552,1.1065713287925751,0.4114175453203164,0.929057461698036,2.4006457686864113,5.986291919987991,0.6284764100391408,0.3528735632183908,17,4,0.4344;0.6727;0.8388;0.9468,0.6167935475522901,0.013873846949981224,300,0.0,1,1,1,1,1,0,0,0,moderate,L1,S7/S8 baseline,1.0,0.5578906116750926,1.0,ICO_CANDIDATE
metric_exp,5,120,0.0977908291684994,0.37510804438620604,0.5047668567422962,154,27,27,26,0.07407407407407407,10,9,1.9259259259259258,5,1.4122722936990828,0.8196333930058719,0.4255788771376643,0.9120534468293121,1.874694648279898,4.5641486299209335,0.7993124401061346,0.4012345679012346,10,8,0.3221;0.511;0.6264;0.7167;0.7813,0.4734370474773133,0.051001203982967466,300,0.0,1,1,1,1,1,0,0,0,moderate,L1,S7/S8 baseline,0.9363636363636364,0.5058199509719785,1.0,ICO_CANDIDATE
metric_exp,6,120,0.08561615896322629,0.3795238783846473,0.5047668567422962,153,27,27,26,0.07407407407407407,6,7,1.9259259259259258,5,1.0514866345613623,0.8285050627073692,0.43018532102113405,0.9068291699319142,1.9190362666392007,5.369410968414098,0.6444974081914888,0.2074074074074074,5,4,0.2974;0.5637;0.8002;0.9073,0.8922735994153079,0.02064924340440896,45,0.0,1,1,1,1,1,0,0,0,moderate,L1,S7/S8 baseline,1.0,0.4813736459280565,1.0,ICO_CANDIDATE
metric_exp,7,120,0.18377306711384914,0.19538165239496597,0.5047668567422962,142,33,33,52,0.09848484848484848,6,18,3.1515151515151514,7,1.9558957046187788,1.170839740241591,0.37151645603819716,1.0320276508582027,2.835797630641019,7.258124588727813,0.5731068255182324,0.43737373737373736,27,5,0.4449;0.6462;0.7966;0.8973;0.9483,0.6869022201894226,0.05533179321989965,300,0.0,1,1,1,1,1,0,0,0,moderate,L1,S7/S8 baseline,1.0,0.5010219479131244,1.0,ICO_CANDIDATE
metric_exp,8,120,0.09835065799525752,0.34416875673091,0.5047668567422962,144,31,31,48,0.1032258064516129,5,13,3.096774193548387,6,1.633417922731892,1.2472144001700365,0.4027463167215743,0.9650974007555265,2.278029905366228,6.036727029984595,0.5060008383137695,0.5483870967741935,29,4,0.4958;0.7406;0.8918;0.9458,0.7125176873629258,0.08314273078393197,297,0.0,1,1,1,1,1,0,0,0,moderate,L1,S7/S8 baseline,1.0,0.4964751967473348,1.0,ICO_CANDIDATE
metric_exp,9,120,0.07712513183387702,0.43754868726038804,0.5047668567422962,173,21,21,14,0.06666666666666667,9,6,1.3333333333333333,3,0.835710894037345,0.6101376230314401,0.4576032172735801,0.8574294317615369,1.6100781991698683,4.126850607630274,1.123661135357275,0.2222222222222222,2,7,0.2629;0.4285;0.5672;0.6792;0.7908,0.0,0.0,300,0.0,1,1,1,1,1,0,0,0,moderate,L1,S7/S8 baseline,0.9518181818181818,0.45100406551098204,1.0,ICO_CANDIDATE
