j_func,alpha,beta,r_theory,r_mean,r_between_seed_std,r_within_tail_std,r_abs_error,r_slope_tail,m_max_mean,edges_mean,largest_component_mean,ico_score_mean,ico_score_seed_std,class
linf_exp,0.0,0.0,1.0,0.9999999999999996,0.0,0.0,4.440892098500626e-16,0.0,0.4999999999999998,66.0,12.0,0.41846858667572495,0.007201305918558249,stable_horizon
linf_exp,0.005,0.0,1.0050251256281406,1.0050251256281397,0.0,0.0,8.881784197001252e-16,0.0,0.5025125628140699,66.0,12.0,0.41846858667572495,0.007201305918558284,stable_horizon
linf_exp,0.0072973525205055605,0.0,1.007350995324767,1.0073509953247661,0.0,0.0,8.881784197001252e-16,0.0,0.5036754976623831,66.0,12.0,0.418468586675725,0.007201305918558269,stable_horizon
linf_exp,0.02,0.0,1.0204081632653061,1.0204081632653053,0.0,0.0,8.881784197001252e-16,0.0,0.5102040816326526,66.0,12.0,0.41846858667572495,0.0072013059185582285,stable_horizon
linf_exp,0.05,0.0,1.0526315789473684,1.0526315789473675,0.0,0.0,8.881784197001252e-16,0.0,0.5263157894736837,66.0,12.0,0.41846858667572495,0.007201305918558249,analytic_tracking
linf_exp,0.1,0.0,1.1111111111111112,1.11111111111111,0.0,0.0,1.1102230246251565e-15,0.0,0.555555555555555,66.0,12.0,0.418468586675725,0.007201305918558227,analytic_tracking
linf_exp,0.2,0.0,1.25,1.249999999999999,0.0,0.0,1.1102230246251565e-15,0.0,0.6249999999999994,66.0,12.0,0.4184685866757249,0.007201305918558252,analytic_tracking
linf_exp,0.3,0.0,1.4285714285714286,1.4285714285714273,0.0,0.0,1.3322676295501878e-15,0.0,0.7142857142857136,66.0,12.0,0.41846858667572495,0.007201305918558256,analytic_tracking
linf_exp,0.4,0.0,1.6666666666666667,1.6666666666666619,0.0,5.7110690101992325e-15,4.884981308350689e-15,2.9512257616618085e-16,0.8333333333333326,66.0,12.0,0.41846858667572495,0.007201305918558249,analytic_tracking
linf_exp,0.5,0.0,2.0,1.9999999999985019,0.0,1.8404229903699545e-12,1.4981349494291862e-12,9.097364212162644e-14,0.9999999999999727,66.0,12.0,0.418468586675725,0.007201305918558235,analytic_tracking
linf_exp,0.6,0.0,2.5,2.499999999483144,0.0,5.285168532784375e-10,5.168558914192545e-10,2.50978984430604e-11,1.2499999999792242,66.0,12.0,0.41846858667572495,0.00720130591855828,analytic_tracking
linf_exp,0.7,0.0,3.333333333333333,3.3333331488749116,0.0,1.4655881543434783e-07,1.8445842142611468e-07,6.710441012984707e-09,1.6666666511748434,66.0,12.0,0.41846858667572495,0.007201305918558275,analytic_tracking
linf_exp,0.8,0.0,5.000000000000001,4.999927230860478,0.0,3.962350222229538e-05,7.276913952303232e-05,1.7612970744770968e-06,2.499988035854211,66.0,12.0,0.41846858667572495,0.007201305918558256,analytic_tracking
linf_exp,0.9,0.0,10.000000000000002,9.96192050199061,0.0,0.010534784710569282,0.0380794980093917,0.00045928360692842966,4.988628619097467,66.0,12.0,0.418468586675725,0.007201305918558241,analytic_tracking
linf_exp,0.0,0.05,1.0,0.9999999999999996,0.0,0.0,4.440892098500626e-16,0.0,0.4999999999999998,66.0,12.0,0.41846858667572495,0.007201305918558249,stable_horizon
linf_exp,0.005,0.05,1.0047846889952154,1.0047846889952143,0.0,0.0,1.1102230246251565e-15,0.0,0.5023923444976072,66.0,12.0,0.418468586675725,0.007201305918558238,stable_horizon
linf_exp,0.0072973525205055605,0.05,1.006998498122303,1.006998498122302,0.0,0.0,1.1102230246251565e-15,0.0,0.503499249061151,66.0,12.0,0.418468586675725,0.007201305918558234,stable_horizon
linf_exp,0.02,0.05,1.0194174757281553,1.0194174757281544,0.0,0.0,8.881784197001252e-16,0.0,0.5097087378640772,66.0,12.0,0.41846858667572495,0.007201305918558204,stable_horizon
linf_exp,0.05,0.05,1.05,1.0499999999999992,0.0,0.0,8.881784197001252e-16,0.0,0.5249999999999996,66.0,12.0,0.41846858667572495,0.007201305918558237,stable_horizon
linf_exp,0.1,0.05,1.1052631578947367,1.1052631578947358,0.0,0.0,8.881784197001252e-16,0.0,0.5526315789473679,66.0,12.0,0.41846858667572495,0.007201305918558246,analytic_tracking
linf_exp,0.2,0.05,1.2352941176470587,1.2352941176470578,0.0,0.0,8.881784197001252e-16,0.0,0.6176470588235289,66.0,12.0,0.418468586675725,0.007201305918558265,analytic_tracking
linf_exp,0.3,0.05,1.4000000000000001,1.3999999999999986,0.0,0.0,1.5543122344752192e-15,0.0,0.6999999999999993,66.0,12.0,0.41846858667572495,0.007201305918558222,analytic_tracking
linf_exp,0.4,0.05,1.6153846153846154,1.615384615384614,0.0,2.466969522362136e-17,1.3322676295501878e-15,2.8106912015826747e-18,0.807692307692307,66.0,12.0,0.41846858667572495,0.007201305918558245,analytic_tracking
linf_exp,0.5,0.05,1.909090909090909,1.909090909090822,0.0,1.156058613196709e-13,8.704148513061227e-14,5.834994934485633e-15,0.9545454545454536,66.0,12.0,0.41846858667572495,0.007201305918558254,analytic_tracking
linf_exp,0.6,0.05,2.3333333333333335,2.333333333303517,0.0,3.3639452089640865e-11,2.9816593638543054e-11,1.6293576895574766e-12,1.166666666665855,66.0,12.0,0.41846858667572495,0.0072013059185582415,analytic_tracking
linf_exp,0.7,0.05,3.0,2.9999999896634875,0.0,9.420432952529853e-09,1.0336512534792064e-08,4.3898550055240477e-10,1.4999999993949111,66.0,12.0,0.41846858667572495,0.0072013059185582476,analytic_tracking
linf_exp,0.8,0.05,4.200000000000001,4.199996187335508,0.0,2.5626012687382923e-06,3.812664493452189e-06,1.154845069418497e-07,2.099999548021107,66.0,12.0,0.41846858667572495,0.007201305918558242,analytic_tracking
linf_exp,0.9,0.05,7.000000000000002,6.998342883674255,0.0,0.0006833140205042457,0.0016571163257470545,3.0036679331796676e-05,3.4996291710593623,66.0,12.0,0.41846858667572495,0.007201305918558238,analytic_tracking
linf_exp,0.0,0.1,1.0,0.9999999999999996,0.0,0.0,4.440892098500626e-16,0.0,0.4999999999999998,66.0,12.0,0.41846858667572495,0.007201305918558249,stable_horizon
linf_exp,0.005,0.1,1.0045662100456623,1.0045662100456614,0.0,0.0,8.881784197001252e-16,0.0,0.5022831050228307,66.0,12.0,0.418468586675725,0.007201305918558247,stable_horizon
linf_exp,0.0072973525205055605,0.1,1.0066782601262458,1.006678260126245,0.0,0.0,8.881784197001252e-16,0.0,0.5033391300631225,66.0,12.0,0.41846858667572495,0.007201305918558236,stable_horizon
linf_exp,0.02,0.1,1.0185185185185186,1.0185185185185177,0.0,0.0,8.881784197001252e-16,0.0,0.5092592592592589,66.0,12.0,0.41846858667572495,0.007201305918558213,stable_horizon
linf_exp,0.05,0.1,1.0476190476190477,1.0476190476190468,0.0,0.0,8.881784197001252e-16,0.0,0.5238095238095234,66.0,12.0,0.41846858667572495,0.007201305918558204,stable_horizon
linf_exp,0.1,0.1,1.1,1.0999999999999992,0.0,0.0,8.881784197001252e-16,0.0,0.5499999999999996,66.0,12.0,0.418468586675725,0.0072013059185582345,analytic_tracking
linf_exp,0.2,0.1,1.2222222222222223,1.2222222222222212,0.0,0.0,1.1102230246251565e-15,0.0,0.6111111111111106,66.0,12.0,0.41846858667572495,0.0072013059185582476,analytic_tracking
linf_exp,0.3,0.1,1.3750000000000002,1.374999999999999,0.0,0.0,1.3322676295501878e-15,0.0,0.6874999999999994,66.0,12.0,0.41846858667572495,0.007201305918558257,analytic_tracking
linf_exp,0.4,0.1,1.5714285714285716,1.5714285714285703,0.0,0.0,1.3322676295501878e-15,0.0,0.7857142857142851,66.0,12.0,0.41846858667572495,0.00720130591855827,analytic_tracking
linf_exp,0.5,0.1,1.8333333333333335,1.8333333333333277,0.0,6.855525480775971e-15,5.773159728050814e-15,3.5414709139941704e-16,0.9166666666666659,66.0,12.0,0.41846858667572495,0.007201305918558255,analytic_tracking
