index,track_id,degree,weighted_degree,closeness,lifetime,updates,mean_track_size,max_track_size
0,27,1,0.2534689231691388,0.3329527335815788,105,21,1,1
1,25,2,0.7301246193396383,0.9923714141379762,155,31,1,1
2,53,4,1.9263624710120053,0.35017653998706455,100,20,1,1
3,7,3,0.9800754632160622,0.39861687482348546,165,33,1.4545454545454546,3
4,16,1,0.3650623096698192,0.6615809427586509,180,36,1,1
5,13,2,0.6955819391461094,0.5091019398331499,185,37,1.3783783783783783,3
6,31,3,1.0067101858510767,0.32795416335624183,185,37,1,1
7,11,4,1.4530896290242394,0.4140105210264697,195,39,1.1282051282051282,3
8,48,3,1.7452173786531178,0.31596351501818437,145,29,1,1
9,56,0,0.0,0.0,145,29,1,1
10,80,6,2.4403076266736723,0.47854136792943686,120,24,1,1
11,9,2,0.6956471595302302,0.41276424449113175,260,52,1.0576923076923077,2
12,93,5,1.5814398415860684,0.560721413262713,130,26,1.8846153846153846,3
13,2,3,1.1078157703151519,0.25927371659527004,275,55,1.690909090909091,3
14,61,3,1.399899916073951,0.38817288801366806,200,40,1,1
15,67,1,0.338808269994569,0.9239403892903342,205,41,1.024390243902439,2
16,21,3,1.5115611036528747,0.24800434189350004,295,59,1.1016949152542372,2
17,102,1,0.3676990859416293,0.29429081934002793,125,25,87.6,90
18,57,5,1.940395722329304,0.4627345834502237,235,47,1.1914893617021276,3
19,88,2,1.1706841860985615,0.23863232800207418,165,33,1.0909090909090908,2
20,91,3,0.7900640287319733,0.3179312769082964,155,31,1.4838709677419355,2
21,15,2,1.1714006585621544,0.3663170442922181,300,60,1.4666666666666666,3
22,107,4,1.9455867770011177,0.3344047985433699,110,22,1.8181818181818181,3
23,5,1,0.338808269994569,0.9239403892903342,300,60,1.4833333333333334,3
24,10,2,0.6936308879922626,0.28426014380695247,300,60,1.4166666666666667,3
25,1,6,2.0932552425256343,0.4359718437366206,300,60,1.6833333333333333,3
26,8,4,1.4530896290242394,0.4140105210264697,300,60,1.35,4
27,12,0,0.0,0.0,300,60,1.0166666666666666,2
28,103,3,1.495327250264379,0.27919287002696286,120,24,1,1
29,111,1,0.3650623096698192,0.6615809427586509,100,20,1.05,2
30,83,3,0.9358803198332971,0.403528799592175,180,36,1,1
31,104,1,0.2534689231691388,0.3329527335815788,120,24,1,1
