seed,final_states,node_count,edge_count,component_count,largest_component,mean_degree,max_degree,mean_weighted_degree,mean_edge_K,mean_edge_d,mean_geodesic_d,max_geodesic_d,mean_closeness,max_closeness,final_avg_memory,final_max_memory
0,120,32,42,6,15,2.625,6,1.0389226843139314,0.395780070214831,0.9778342502615985,2.8522140687996007,7.2407750670632085,0.4163717531360878,0.9923714141379762,0.36018125201567924,0.5047668567422962
1,40,31,50,4,15,3.225806451612903,6,1.316233090207038,0.4080322579641818,0.9503947050475521,3.0714642347700196,8.829697097489232,0.5176511984546218,2.1684411969529434,0.36761132757783027,0.5047668567422962
2,120,30,40,6,11,2.6666666666666665,6,1.095277273688555,0.4107289776332081,0.9355817648009153,2.1232691011211227,6.494499549398165,0.663816094476621,1.4432860167617214,0.40038926163704014,0.5047668567422962
3,120,29,39,8,9,2.689655172413793,6,1.1514987443085525,0.42812132801215413,0.90151939073312,1.3144049602911307,3.103027470415465,0.9241878066897516,2.871037046651235,0.40701879477578246,0.5047668567422962
4,120,29,38,6,14,2.6206896551724137,7,1.0755890382687825,0.41042213302361436,0.9332777298523218,2.3908636274346575,5.986291919987991,0.6702458487745768,1.5214561848010542,0.3786627016273522,0.5047668567422962
5,120,27,26,10,9,1.9259259259259258,5,0.8042971950568333,0.41761585127950956,0.9306054677029844,1.8833080865426746,4.5641486299209335,0.777121089470066,2.9614542253898106,0.37510804438620604,0.5047668567422962
6,120,27,25,7,7,1.8518518518518519,5,0.8060050234420264,0.43524271265869424,0.8954403951610886,1.8747693766647109,5.369410968414098,0.695505330122115,1.818724988710808,0.3795238783846473,0.5047668567422962
7,120,33,52,6,18,3.1515151515151514,7,1.170839740241591,0.37151645603819716,1.0320276508582027,2.835797630641019,7.258124588727813,0.5731068255182324,1.2780734244709393,0.19538165239496597,0.5047668567422962
8,120,31,48,5,13,3.096774193548387,6,1.241987767719913,0.40105854999288854,0.9688513708895634,2.2793949854149687,6.036727029984595,0.5003533952159986,0.9877871435661473,0.34416875673091,0.5047668567422962
9,120,21,14,9,6,1.3333333333333333,3,0.5988352230013714,0.44912641725102853,0.8815183646426435,1.6241300766838471,4.126850607630274,1.09370789106827,3.3554354935498876,0.43754868726038804,0.5047668567422962
10,120,32,42,4,16,2.625,5,0.9835767291831263,0.37469589683166715,1.0286791319283974,3.059458752846653,8.288281096762827,0.4823272747759076,1.2576545167445592,0.3457737350367505,0.5047668567422962
11,120,34,45,10,8,2.6470588235294117,5,1.2396457390888036,0.4683106125446591,0.8458477480805745,1.5849622990361611,4.297506651307785,0.7735233003073393,1.857707180497077,0.3424037323245275,0.5047668567422962
12,120,35,49,2,34,2.8,5,1.086723591184565,0.3881155682802017,1.003724098351374,6.297281313383092,15.371983827316901,0.1614788064104341,0.22865372308313117,0.40353337168844206,0.5047668567422962
13,120,29,33,9,8,2.2758620689655173,4,0.9330083295010657,0.4099582053868319,0.9414604259280289,1.5538610049635944,4.707936437886057,0.8009292845495188,2.3021990794416607,0.26787378175143284,0.5047668567422962
14,120,34,59,5,25,3.4705882352941178,7,1.395355624354104,0.40205162057660626,0.9828943294911731,3.3416954990935053,7.82649069379718,0.3691527239728493,0.9714168545556793,0.3971881950203033,0.5047668567422962
15,120,33,48,6,14,2.909090909090909,6,1.1689102821380044,0.40181290948493903,0.967504024772578,2.6894564918921633,6.164688794126027,0.38292936852466547,0.815271634964282,0.21344471635346104,0.5047668567422962
16,120,34,42,8,13,2.4705882352941178,6,1.0775019645341533,0.43613174754953826,0.8770332563155181,2.349025004267628,5.346497353392227,0.6290635958952304,1.1126309368113207,0.28716596912238646,0.5047668567422962
17,120,35,54,5,28,3.085714285714286,7,1.303419602515512,0.42240450081521225,0.9161745180849413,4.050915644034901,8.614208514788508,0.4038515655775823,2.233824353071199,0.39762851962542123,0.5047668567422962
18,120,33,43,9,15,2.606060606060606,7,1.0543051846695486,0.40455896621040816,0.9493764865050027,2.464018465609901,6.663512787992193,0.7571647796546999,2.4009594133062295,0.40727222822284836,0.5047668567422962
19,120,35,38,9,15,2.1714285714285713,6,0.8713172306487711,0.40126451411456565,0.9555920415353627,2.1845997082855804,4.866055242533947,0.8034676391230089,3.9990952567414895,0.31819839874642597,0.5047668567422962
20,120,32,36,7,18,2.25,5,0.8608681060897112,0.38260804715098273,1.0106684669055843,3.583792483124352,8.783235819881975,0.501471062004137,1.3067670921898218,0.1901298586633262,0.5047668567422962
21,120,33,39,5,14,2.3636363636363638,5,0.9128320273688999,0.38619816542530383,1.003055030921651,2.6458867414840066,6.692337321569994,1.0435027129244858,10.995312109804022,0.3935386424714424,0.5047668567422962
22,120,32,46,6,19,2.875,7,1.070714645914595,0.3724224855355113,1.020834969163676,3.5386793270152705,8.670160575206554,0.4735048961326385,1.334641693326559,0.32017455097981123,0.5047668567422962
23,120,30,39,8,15,2.6,6,1.114310901861613,0.42858111610062044,0.910542024050518,3.0015873263433535,7.513264829947945,0.566048884026443,1.7217717586365642,0.38810037812291476,0.5047668567422962
24,120,28,28,6,15,2,4,0.7718804255855612,0.3859402127927806,0.9855408973592557,3.3375246047197202,9.057029839040913,0.48173448712324185,1.256107512513958,0.17627506406744403,0.5047668567422962
25,120,35,59,3,30,3.3714285714285714,7,1.4428580281863082,0.42796636429254903,0.9072015312024122,3.9452398279836096,9.010241447136526,0.6495065881482824,4.468456526988709,0.36434776525471846,0.5047668567422962
26,39,27,34,6,9,2.5185185185185186,6,0.9218380601820537,0.3660239356605214,1.0688825563049402,1.849514062573346,4.476619422455402,0.7488949496121922,2.898542909413464,0.2983845741656739,0.5047668567422962
27,120,30,30,8,9,2,4,0.8025268440805721,0.40126342204028603,0.950489171093332,2.4309100187594153,7.0462278982302635,0.6065775941524688,2.2292962829151017,0.2581788728278241,0.5047668567422962
28,120,26,27,5,13,2.076923076923077,4,0.7915433073456157,0.3811134442775187,1.00710624438212,3.182686661442022,8.447392167623788,0.37665142608590807,0.914004110163813,0.38446991637192207,0.5047668567422962
29,120,30,35,5,15,2.3333333333333335,4,0.9360049768963971,0.4011449900984559,0.9686566266247036,3.0450645885253604,7.052168098048094,0.46970789833178056,1.355199520754213,0.34044995048003196,0.5047668567422962
30,120,37,65,7,11,3.5135135135135136,8,1.4633316601516044,0.4164867032739182,0.9312639443238481,1.734897997879259,5.629079511624097,0.7401559582443077,1.8593937480760765,0.32712450406474763,0.5047668567422962
31,120,25,23,5,18,1.84,4,0.6831800156793585,0.37129348678226004,1.0325987665765441,6.146932305182278,16.03125093861474,0.2881556726170682,1.1380388564307236,0.41164696731651584,0.5047668567422962
32,120,27,29,6,17,2.1481481481481484,5,0.7686170681672767,0.357804497250284,1.0654519074792645,3.8456172590551803,10.164389937449524,0.41431376971124656,1.5180492524961338,0.4081514014562231,0.5004131676384612
33,120,27,24,8,6,1.7777777777777777,3,0.9285189431837602,0.5222919055408651,0.7113171225369869,1.1052058936408262,2.781675847195762,2.2218470873514624,9.686014729721562,0.2145235501120279,0.5047668567422962
